age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,income,marital-status_Non-Married,native-country_US,occupation_Other,race_White,relationship_Non-Husband,sex_Male,workclass_Private
0.301369863,0.044131208,0.8,0.021740217,0,0.397959184,0,1,1,0,1,1,1,0
0.452054795,0.048051742,0.8,0,0,0.12244898,0,0,1,0,1,0,1,0
0.287671233,0.137581311,0.533333333,0,0,0.397959184,0,1,1,1,1,1,1,1
0.493150685,0.150486261,0.4,0,0,0.397959184,0,0,1,1,0,0,1,1
0.150684932,0.220635066,0.8,0,0,0.397959184,0,0,0,0,0,1,0,1
0.273972603,0.18421909,0.866666667,0,0,0.397959184,0,0,1,0,1,1,0,1
0.438356164,0.100061227,0.266666667,0,0,0.153061224,0,1,0,1,0,1,0,1
0.479452055,0.133519381,0.533333333,0,0,0.448979592,1,0,1,0,1,0,1,0
0.191780822,0.022661295,0.866666667,0.140841408,0,0.5,1,1,1,0,1,1,0,1
0.342465753,0.099561942,0.8,0.051780518,0,0.397959184,1,0,1,0,1,0,1,1
0.273972603,0.181433109,0.6,0,0,0.806122449,1,0,1,0,0,0,1,1
0.178082192,0.087281436,0.8,0,0,0.397959184,1,0,0,0,0,0,1,0
0.082191781,0.074410313,0.8,0,0,0.295918367,0,1,1,0,1,1,0,1
0.205479452,0.130391749,0.733333333,0,0,0.5,0,1,1,1,0,1,1,1
0.315068493,0.074072044,0.666666667,0,0,0.397959184,1,0,1,1,0,0,1,1
0.232876712,0.157769862,0.2,0,0,0.448979592,0,0,0,1,0,0,1,1
0.109589041,0.111270774,0.533333333,0,0,0.346938776,0,1,1,1,1,1,1,0
0.205479452,0.118082152,0.533333333,0,0,0.397959184,0,1,1,0,1,1,1,1
0.287671233,0.011231873,0.4,0,0,0.5,0,0,1,1,1,0,1,1
0.356164384,0.189356038,0.866666667,0,0,0.448979592,1,1,1,0,1,1,0,0
0.315068493,0.122614952,1,0,0,0.602040816,1,0,1,0,1,0,1,1
0.506849315,0.196101792,0.533333333,0,0,0.193877551,0,1,1,1,0,1,0,1
0.246575342,0.043677251,0.266666667,0,0,0.397959184,0,0,1,1,0,0,1,0
0.356164384,0.07086864,0.4,0,0.468778696,0.397959184,0,0,1,1,1,0,1,1
0.575342466,0.065441458,0.533333333,0,0,0.397959184,0,1,1,1,1,1,0,1
0.534246575,0.138396539,0.8,0,0,0.397959184,1,0,1,1,1,0,1,0
0.02739726,0.105545915,0.533333333,0,0,0.397959184,0,1,1,1,1,1,1,1
0.506849315,0.11360821,0.6,0,0,0.602040816,1,0,0,1,0,0,1,1
0.301369863,0.240153845,0.533333333,0,0,0.806122449,0,1,1,0,1,1,1,1
0.438356164,0.122508059,0.533333333,0,0,0.397959184,0,0,1,1,1,0,1,1
0.082191781,0.1207105,0.733333333,0,0,0.520408163,0,1,1,1,1,1,1,0
